Timestamp,Name,Registration Number,Gender,Batch,Area or Locality Near College,Type of Accommodation,Latitude (Accommodation),Longitude (Accommodation),Pincode,Commute Mode(s),How long is your commute,Do you usually travel alone or with others?,When Do You Leave for College?,When Do You Return Home?,Days of the Week You Commute,Have You Experienced Any Safety Incidents?,How many incidents have you experienced?,Where Did the Incident Happen?,Latitude (Incident),Longitude (Incident),Describe the incident,At which date the incident happen?,At what time the incident happen?,Was there any emergency support available?,Was the area had well lighting?,Were there any witnesses or bystanders present?,How Safe Do You Feel in Your Accommodation?,How Safe Do You Feel During Your Commute?,How likely are you to report an incident?,Do you feel informed about crime prevention strategies?,Do you know how to report safety concerns?,Confidence in staying safe,Has Incident
41:24.2,Advika Konda,2025BTech543,Male,2023,Kotri,Hostel,23.185516,77.188473,466001,"['College Bus', 'Personal Car']",45 mins–1 hour,With friends,4:25 PM,10:00 AM,"['Friday', 'Thursday', 'Monday', 'Tuesday', 'Saturday']",Yes,3,"H.No. 46, Tailor Chowk, Anantapuram-037703",23.034988,77.176564,Ducimus suscipit expedita repellendus distinctio.,06-07-2024,02:50:41,Yes,No,Yes,4,2,3,No,No,2,1
54:31.9,Jagat Date,2025BTech782,Female,2023,Sehore,PG,23.429253,77.481679,462030,"['Monthly Cab', 'Personal Car', 'Private Bus']",30–45 mins,With friends,4:25 PM,11:35 AM,"['Monday', 'Tuesday', 'Thursday']",Yes,1,"44, Saran Street, Hubli–Dharwad 575547",23.246699,77.435985,Libero aliquam illum provident.,07-10-2024,09:17:21,Not Sure,Yes,No,1,3,1,Not Sure,Yes,1,1
35:26.2,Onveer Saxena,2020BTech325,Female,2025,Kotri,PG,23.193737,77.080585,466001,"['Monthly Cab', 'College Bus']",15–30 mins,With friends,2:50 PM,2:45 PM,"['Saturday', 'Wednesday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,No,Not Sure,Yes,1,2,1,Yes,No,1,1
32:22.1,Wishi Sarma,2021BTech739,Male,2023,Sehore,PG,23.396342,77.009058,462030,"['Personal Car', 'Bike', 'College Bus']",30–45 mins,Alone,6:00 PM,5:55 PM,"['Friday', 'Monday', 'Saturday', 'Tuesday', 'Thursday']",Yes,2,"H.No. 659, Kale Street, Gwalior 546122",23.106135,77.479506,Nesciunt explicabo beatae ad quia officia accusantium.,17-06-2024,10:22:26,Not Sure,Not Sure,Yes,2,2,4,Yes,No,3,1
01:46.0,Krish Grover,2025BTech137,Female,2025,Sehore,Rented Flat,23.36791,77.283797,466001,['College Bus'],30–45 mins,With friends,10:05 AM,10:00 AM,"['Wednesday', 'Tuesday', 'Friday', 'Monday']",Yes,2,"73/887
Bhardwaj, Ulhasnagar 025016",23.041316,77.165708,Repellat harum repellat ipsam delectus.,31-08-2024,23:46:39,Yes,Not Sure,Yes,2,4,2,No,No,2,1
09:37.4,Kabir Mammen,2021BTech115,Other,2025,Kotri,Rented Flat,23.452564,77.160561,462030,"['Private Bus', 'Bike']",30–45 mins,With friends,2:50 PM,5:55 PM,"['Monday', 'Friday', 'Tuesday', 'Thursday', 'Wednesday']",No,0,None,0.0,0.0,None,None,None,No,Not Sure,No,4,5,3,Not Sure,No,4,1
37:20.5,Lopa Shetty,2020BTech639,Other,2023,Bhopal,Rented Flat,23.013534,77.247044,466001,['Bike'],30–45 mins,With friends,8:30 AM,7:30 PM,"['Wednesday', 'Friday', 'Thursday', 'Monday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,Yes,No,Yes,1,3,2,Not Sure,Yes,2,1
10:25.8,Onveer Morar,2025BTech878,Other,2023,Bhopal,Rented Flat,23.415866,77.451087,466001,"['Private Bus', 'Bike', 'College Bus']",30–45 mins,Alone,10:05 AM,2:45 PM,"['Saturday', 'Tuesday', 'Monday', 'Friday', 'Thursday', 'Wednesday']",No,0,None,0.0,0.0,None,None,None,Not Sure,Not Sure,No,4,5,1,No,Yes,1,1
24:05.5,Mekhala Mutti,2021BTech116,Other,2024,Kotri,Hostel,23.084,77.284794,462030,"['College Bus', 'Scooty']",30–45 mins,With friends,6:00 PM,5:55 PM,"['Tuesday', 'Monday', 'Wednesday', 'Friday', 'Thursday', 'Saturday']",Yes,3,"H.No. 10, Kari Zila, Thanjavur 721619",23.190428,77.330876,Dicta unde ipsam quasi veniam.,12-02-2024,05:43:19,Not Sure,Not Sure,Yes,1,1,5,No,Yes,1,1
38:36.5,Champak Chawla,2024BTech728,Male,2025,Bhopal,PG,23.442267,77.154198,466001,"['Walking', 'College Bus', 'Scooty']",15–30 mins,Alone,8:30 AM,7:30 PM,"['Friday', 'Tuesday', 'Saturday']",Yes,2,"H.No. 836, Tripathi Path
Panchkula-834181",23.426885,77.482692,Enim non eveniet quae.,27-01-2024,20:22:53,No,No,No,1,1,3,No,No,2,1
56:44.5,Jatin Narasimhan,2023BTech103,Female,2023,Sehore,PG,23.371631,77.220129,466001,"['Monthly Cab', 'Scooty', 'Private Bus']",45 mins–1 hour,Alone,11:40 AM,11:35 AM,"['Wednesday', 'Tuesday', 'Monday']",No,0,None,0.0,0.0,None,None,None,No,Not Sure,Yes,3,1,1,No,Yes,2,1
12:10.5,Unnati Yadav,2024BTech175,Female,2023,Sehore,Rented Flat,23.022889,77.143252,466001,['Monthly Cab'],15–30 mins,With friends,2:50 PM,10:00 AM,"['Thursday', 'Saturday', 'Tuesday', 'Friday']",No,0,None,0.0,0.0,None,None,None,Yes,Not Sure,Yes,1,5,5,No,No,3,1
15:10.2,Isaiah Minhas,2021BTech613,Female,2024,Sehore,Rented Flat,23.294185,77.060129,462030,"['College Bus', 'Personal Car', 'Walking']",30–45 mins,Alone,4:25 PM,10:00 AM,"['Thursday', 'Friday', 'Wednesday']",Yes,1,"H.No. 292, Bassi Nagar
Purnia-153823",23.22549,77.065589,Laborum consectetur architecto ab facere.,24-06-2024,22:03:38,No,Not Sure,Yes,5,3,2,Yes,No,4,1
25:45.6,Kabir Basak,2023BTech897,Female,2023,Bhopal,Rented Flat,23.21377,77.269344,462030,"['Walking', 'Monthly Cab', 'College Bus']",15–30 mins,Alone,4:25 PM,10:00 AM,"['Thursday', 'Tuesday', 'Monday', 'Saturday', 'Wednesday']",Yes,3,"70/02
Kannan Marg, Satara 355724",23.334989,77.244715,Optio sequi eveniet quibusdam est.,25-11-2024,19:34:00,No,Not Sure,Yes,3,4,3,Yes,Yes,1,1
17:02.5,Guneet Gade,2022BTech912,Other,2025,Sehore,Rented Flat,23.153325,77.41818,466001,"['Monthly Cab', 'College Bus']",45 mins–1 hour,With friends,8:30 AM,7:30 PM,"['Wednesday', 'Friday', 'Tuesday', 'Thursday']",Yes,3,"32, Dua Street
Karimnagar-274274",23.096223,77.201512,Placeat eveniet quaerat aliquid odit similique vel.,07-08-2024,23:37:18,Not Sure,No,No,3,5,1,Yes,No,3,1
22:59.0,Qasim Trivedi,2020BTech910,Other,2024,Kotri,Rented Flat,23.459499,77.397402,462030,"['Walking', 'Scooty', 'Bike']",45 mins–1 hour,With friends,10:05 AM,5:55 PM,"['Monday', 'Wednesday', 'Friday', 'Saturday', 'Thursday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,Not Sure,No,No,4,1,4,No,No,5,1
31:23.4,Krishna Chopra,2020BTech414,Other,2025,Bhopal,PG,23.118965,77.349462,462030,"['Bike', 'College Bus']",45 mins–1 hour,Alone,10:05 AM,2:45 PM,"['Monday', 'Friday', 'Saturday']",Yes,3,"060, Bhatti Ganj, Vadodara-062182",23.104988,77.453104,Illum placeat aliquam adipisci commodi aliquam.,02-09-2024,16:35:30,Yes,No,Yes,4,4,4,Not Sure,No,1,1
39:16.8,Adya Sahni,2020BTech801,Female,2025,Sehore,PG,23.42365,77.415438,462030,"['College Bus', 'Scooty']",45 mins–1 hour,Alone,4:25 PM,5:55 PM,"['Wednesday', 'Saturday', 'Monday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,Yes,No,No,3,4,2,Yes,No,3,1
10:26.7,Meghana Jani,2024BTech778,Other,2023,Sehore,Rented Flat,23.132216,77.101342,466001,"['Monthly Cab', 'Bike']",15–30 mins,Alone,6:00 PM,7:30 PM,"['Thursday', 'Saturday', 'Tuesday', 'Monday']",Yes,2,"H.No. 80
Batta Ganj, Pudukkottai 334842",23.347732,77.036952,Voluptatibus fuga tempora molestiae id provident.,07-04-2024,13:04:07,Yes,Not Sure,No,3,4,3,Yes,Yes,5,1
05:37.7,Ayush Behl,2020BTech855,Female,2025,Sehore,Hostel,23.218197,77.029751,466001,"['Scooty', 'College Bus']",30–45 mins,With friends,4:25 PM,1:10 PM,"['Tuesday', 'Monday', 'Friday']",No,0,None,0.0,0.0,None,None,None,Yes,Yes,Yes,5,2,4,Not Sure,Yes,5,1
53:05.7,Rohan Sule,2023BTech575,Male,2024,Kotri,Rented Flat,23.423765,77.342862,466001,"['Walking', 'Scooty']",15–30 mins,With friends,1:15 PM,7:30 PM,"['Thursday', 'Monday', 'Tuesday', 'Wednesday', 'Saturday', 'Friday']",Yes,1,"H.No. 28, Kashyap Circle, Sirsa-117624",23.210082,77.134609,A velit corporis praesentium.,18-02-2024,05:27:17,Not Sure,No,No,4,1,4,Yes,No,3,1
30:24.6,Amara Narayan,2024BTech567,Female,2024,Kotri,Rented Flat,23.013422,77.188543,466001,"['College Bus', 'Monthly Cab']",15–30 mins,With friends,4:25 PM,2:45 PM,"['Wednesday', 'Monday', 'Saturday', 'Friday']",Yes,3,"875
Acharya Street
Sagar-733528",23.31427,77.484233,Nostrum necessitatibus harum aliquam nesciunt.,06-10-2024,00:29:24,Yes,No,Yes,5,4,5,Yes,No,4,1
43:44.6,Krish Kalla,2023BTech636,Other,2024,Kotri,PG,23.38697,77.065678,466001,"['Walking', 'College Bus']",15–30 mins,With friends,6:00 PM,7:30 PM,"['Wednesday', 'Saturday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,No,Not Sure,No,3,1,3,Not Sure,No,2,1
10:15.3,Wridesh Padmanabhan,2022BTech135,Female,2025,Kotri,PG,23.423985,77.11182,462030,"['Scooty', 'Bike']",45 mins–1 hour,With friends,4:25 PM,2:45 PM,"['Wednesday', 'Saturday', 'Friday', 'Tuesday', 'Thursday', 'Monday']",Yes,2,"H.No. 657, Setty Zila, Lucknow 864373",23.257239,77.062402,Officia molestias eius architecto voluptatum.,11-05-2024,23:13:32,Not Sure,Yes,Yes,2,4,4,Not Sure,Yes,5,1
27:20.7,Raksha Suri,2022BTech842,Male,2024,Sehore,Hostel,23.375204,77.282889,466001,"['Private Bus', 'Personal Car', 'Scooty']",15–30 mins,With friends,6:00 PM,7:30 PM,"['Tuesday', 'Thursday', 'Saturday', 'Wednesday', 'Monday']",Yes,2,"95
Saraf
Haldia 648474",23.199395,77.483255,Voluptatum illum veritatis nobis maxime.,14-02-2024,06:07:44,Not Sure,Yes,Yes,5,2,1,No,No,3,1
54:07.5,Kiaan Saini,2021BTech713,Other,2025,Sehore,Hostel,23.460632,77.458855,462030,['Private Bus'],45 mins–1 hour,Alone,10:05 AM,5:55 PM,"['Thursday', 'Wednesday', 'Monday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,Not Sure,Not Sure,No,1,1,5,No,Yes,3,1
15:03.4,Edhitha Bandi,2022BTech444,Other,2025,Kotri,PG,23.387349,77.045227,462030,"['Scooty', 'Personal Car']",30–45 mins,Alone,8:30 AM,2:45 PM,"['Wednesday', 'Friday', 'Thursday', 'Tuesday']",Yes,3,"05/618, Bajwa Nagar
Korba-172841",23.399595,77.141281,Fuga tenetur aut eius cum vitae harum.,23-02-2024,00:33:18,Not Sure,Yes,No,5,4,3,Yes,Yes,4,1
32:51.0,Lakshmi Misra,2022BTech985,Other,2024,Kotri,Rented Flat,23.485706,77.482301,466001,"['Walking', 'Bike', 'Monthly Cab']",45 mins–1 hour,With friends,10:05 AM,11:35 AM,"['Saturday', 'Thursday', 'Tuesday', 'Friday']",No,0,None,0.0,0.0,None,None,None,Yes,Not Sure,No,1,5,4,Yes,Yes,3,1
14:29.8,Saksham Patel,2020BTech157,Male,2023,Bhopal,PG,23.484274,77.318705,466001,"['Bike', 'Walking']",15–30 mins,With friends,11:40 AM,5:55 PM,"['Thursday', 'Monday', 'Tuesday']",Yes,1,"H.No. 09
Kumar Circle, Bidar-049385",23.193382,77.426858,Molestiae ab perspiciatis animi doloribus veniam magnam.,28-06-2024,16:17:15,Yes,Yes,Yes,2,3,3,Not Sure,No,3,1
41:03.4,Priya Sandal,2024BTech897,Male,2025,Kotri,Rented Flat,23.295742,77.046462,466001,"['Bike', 'Monthly Cab', 'College Bus']",15–30 mins,With friends,10:05 AM,1:10 PM,"['Thursday', 'Tuesday', 'Monday', 'Friday', 'Saturday', 'Wednesday']",Yes,1,"09/04
Narula Ganj
Srikakulam 750816",23.190415,77.053192,Facere in facere reiciendis necessitatibus qui placeat iusto.,13-05-2024,14:09:43,No,No,Yes,2,1,4,Yes,No,1,1
52:42.0,Darpan Bir,2025BTech747,Female,2025,Kotri,Hostel,23.072895,77.061618,462030,"['Bike', 'Private Bus', 'Monthly Cab']",30–45 mins,With friends,1:15 PM,1:10 PM,"['Tuesday', 'Thursday', 'Saturday', 'Wednesday', 'Monday']",Yes,1,"165
Bhardwaj Zila
Nagaon 192996",23.159623,77.112172,Laudantium aliquam quibusdam porro error maxime.,15-02-2024,16:15:21,Not Sure,Not Sure,Yes,2,3,2,Not Sure,No,5,1
43:22.5,Isaiah Joshi,2024BTech278,Male,2024,Bhopal,Hostel,23.466381,77.07899,466001,"['Scooty', 'Private Bus', 'Bike']",30–45 mins,Alone,6:00 PM,10:00 AM,"['Saturday', 'Friday', 'Thursday']",Yes,1,"H.No. 53, Narayan Nagar
Bangalore 175544",23.027508,77.402794,Blanditiis maxime sint fugiat ad doloremque.,12-11-2024,06:49:30,No,Yes,Yes,2,4,2,No,No,3,1
08:59.9,Sanaya Kulkarni,2024BTech475,Other,2024,Kotri,Hostel,23.2945,77.253407,462030,['Walking'],30–45 mins,Alone,11:40 AM,4:20 PM,"['Tuesday', 'Thursday', 'Friday']",Yes,3,"H.No. 53, Sarin Path
Yamunanagar-449862",23.229573,77.30672,Deserunt explicabo quae fugit quam ullam.,21-04-2024,10:26:17,No,Not Sure,Yes,5,4,1,Yes,Yes,4,1
24:38.9,Devika Pillai,2023BTech173,Other,2023,Bhopal,PG,23.468883,77.313417,462030,['College Bus'],30–45 mins,Alone,4:25 PM,10:00 AM,"['Tuesday', 'Wednesday', 'Monday', 'Friday', 'Thursday']",No,0,None,0.0,0.0,None,None,None,No,No,No,2,1,2,Not Sure,No,1,1
18:43.6,Arunima Badami,2022BTech576,Other,2024,Kotri,PG,23.111285,77.153601,466001,"['Bike', 'College Bus', 'Personal Car']",15–30 mins,Alone,2:50 PM,2:45 PM,"['Friday', 'Wednesday', 'Saturday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,No,No,No,3,3,5,No,Yes,5,1
33:15.9,Nikita Saha,2024BTech408,Male,2025,Bhopal,PG,23.305631,77.266044,466001,['Bike'],30–45 mins,Alone,8:30 AM,10:00 AM,"['Wednesday', 'Monday', 'Thursday', 'Saturday', 'Friday', 'Tuesday']",Yes,2,"H.No. 146
Grover Nagar
Serampore 419966",23.125673,77.432692,At doloribus tempora cupiditate eveniet.,17-03-2024,14:06:05,Yes,No,Yes,2,5,5,Not Sure,Yes,3,1
33:16.0,Barkha Kata,2022BTech349,Female,2025,Sehore,Rented Flat,23.256619,77.065438,462030,"['Walking', 'College Bus', 'Scooty']",15–30 mins,Alone,10:05 AM,5:55 PM,"['Monday', 'Wednesday', 'Tuesday', 'Thursday']",Yes,1,"13
Suri Zila, Gangtok-138590",23.101689,77.131359,Sunt minima voluptatibus delectus ducimus.,15-08-2024,10:35:53,Yes,No,No,2,1,3,No,Yes,3,1
09:02.5,Turvi Dixit,2024BTech606,Male,2024,Bhopal,PG,23.228099,77.214908,466001,"['Personal Car', 'Scooty']",45 mins–1 hour,Alone,4:25 PM,2:45 PM,"['Saturday', 'Friday', 'Tuesday', 'Monday', 'Wednesday']",Yes,1,"45/058, Nayak Street
Raipur-630208",23.209341,77.244443,Corporis sunt omnis rerum voluptas.,19-01-2024,23:56:24,Yes,Not Sure,Yes,4,1,5,Not Sure,Yes,3,1
45:27.8,Umang Choudhary,2021BTech649,Male,2025,Sehore,Hostel,23.23839,77.093941,462030,['Walking'],30–45 mins,With friends,8:30 AM,4:20 PM,"['Monday', 'Tuesday', 'Friday']",No,0,None,0.0,0.0,None,None,None,Not Sure,Not Sure,No,4,1,5,No,No,3,1
30:27.8,Hritik Shere,2023BTech450,Male,2025,Kotri,PG,23.46075,77.165689,466001,['Private Bus'],45 mins–1 hour,With friends,8:30 AM,5:55 PM,"['Saturday', 'Friday', 'Monday', 'Tuesday']",Yes,3,"H.No. 73
Savant Road
Chandigarh 958083",23.424117,77.415628,Impedit cupiditate molestias exercitationem dignissimos dolores quia.,14-06-2024,23:00:10,Not Sure,Yes,No,1,5,3,No,Yes,4,1
02:18.9,Sarthak Nadig,2022BTech593,Other,2025,Sehore,PG,23.314649,77.303282,462030,"['Private Bus', 'Bike', 'Personal Car']",45 mins–1 hour,Alone,10:05 AM,4:20 PM,"['Tuesday', 'Saturday', 'Thursday', 'Friday', 'Monday', 'Wednesday']",No,0,None,0.0,0.0,None,None,None,No,Yes,Yes,5,5,4,Yes,No,5,1
48:21.1,Ladli Buch,2024BTech595,Male,2024,Bhopal,Rented Flat,23.309212,77.494048,462030,['Bike'],30–45 mins,Alone,6:00 PM,2:45 PM,"['Thursday', 'Monday', 'Friday', 'Tuesday', 'Saturday', 'Wednesday']",Yes,2,"H.No. 036, Tak, Vellore 582523",23.1731,77.311597,Consectetur eius facilis repudiandae eius.,24-05-2024,02:40:46,Not Sure,No,Yes,4,2,4,Yes,No,3,1
19:17.3,William Tripathi,2025BTech821,Male,2025,Bhopal,PG,23.16795,77.471654,466001,"['Bike', 'Scooty']",30–45 mins,With friends,6:00 PM,4:20 PM,"['Tuesday', 'Friday', 'Saturday', 'Thursday', 'Wednesday']",Yes,1,"H.No. 882
Gade, Mirzapur 989506",23.443086,77.458059,Consectetur nobis in cum labore labore dignissimos.,20-04-2024,04:42:14,No,No,Yes,4,3,3,Yes,No,1,1
16:19.3,Ati Dixit,2021BTech477,Male,2023,Sehore,PG,23.280974,77.35172,466001,"['Walking', 'College Bus']",30–45 mins,Alone,1:15 PM,4:20 PM,"['Friday', 'Wednesday', 'Monday', 'Thursday', 'Tuesday']",Yes,2,"H.No. 235
Kar Nagar
Siwan 098041",23.139286,77.479411,A laudantium ut.,23-04-2024,15:56:10,No,Not Sure,Yes,4,5,1,Not Sure,No,4,1
50:22.9,Krish Parmer,2020BTech928,Female,2024,Bhopal,Rented Flat,23.184202,77.354776,462030,"['Scooty', 'Monthly Cab']",30–45 mins,Alone,2:50 PM,1:10 PM,"['Saturday', 'Friday', 'Tuesday', 'Thursday', 'Wednesday']",No,0,None,0.0,0.0,None,None,None,No,No,Yes,1,1,1,Yes,No,3,1
18:45.9,Yug Sankaran,2024BTech788,Other,2024,Bhopal,Rented Flat,23.357747,77.145986,462030,"['Personal Car', 'College Bus', 'Scooty']",45 mins–1 hour,With friends,4:25 PM,5:55 PM,"['Tuesday', 'Friday', 'Wednesday', 'Thursday', 'Saturday']",Yes,1,"08/916
Cherian Marg, Bathinda 914712",23.160555,77.319802,Voluptate optio nisi magnam similique.,12-11-2024,08:32:31,No,Not Sure,Yes,3,1,2,No,Yes,4,1
52:51.5,Ekanta Bath,2025BTech220,Male,2025,Bhopal,Rented Flat,23.365307,77.158704,462030,"['Monthly Cab', 'Personal Car', 'Private Bus']",30–45 mins,With friends,2:50 PM,4:20 PM,"['Saturday', 'Thursday', 'Tuesday', 'Friday']",Yes,3,"00, Palla Zila, Gopalpur 698770",23.403433,77.458791,Ipsum sed ab voluptates maiores porro excepturi.,01-04-2024,06:49:52,No,Not Sure,No,4,3,5,Not Sure,No,4,1
57:18.5,Aadhya Kothari,2025BTech777,Female,2025,Sehore,PG,23.291409,77.366506,466001,"['Bike', 'Personal Car']",45 mins–1 hour,With friends,6:00 PM,5:55 PM,"['Friday', 'Thursday', 'Monday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,Yes,No,Yes,2,1,5,No,Yes,5,1
36:03.1,Reva Upadhyay,2021BTech547,Other,2023,Bhopal,Hostel,23.069287,77.408741,466001,['Personal Car'],15–30 mins,Alone,2:50 PM,4:20 PM,"['Monday', 'Tuesday', 'Saturday']",Yes,3,"H.No. 53, Raghavan Marg, Darbhanga 808776",23.274627,77.486922,Nostrum illum ducimus numquam aspernatur reiciendis.,28-09-2024,21:17:44,Yes,Yes,No,1,5,2,No,Yes,5,1
49:13.9,Siya Taneja,2025BTech155,Other,2023,Sehore,Rented Flat,23.115672,77.046925,466001,"['Private Bus', 'Walking']",15–30 mins,Alone,1:15 PM,5:55 PM,"['Saturday', 'Friday', 'Thursday', 'Tuesday', 'Wednesday', 'Monday']",No,0,None,0.0,0.0,None,None,None,No,No,Yes,4,2,4,No,No,5,1
36:44.6,Mohini Devan,2023BTech145,Female,2024,Sehore,Rented Flat,23.190535,77.169265,462030,['Walking'],15–30 mins,With friends,4:25 PM,1:10 PM,"['Friday', 'Thursday', 'Monday', 'Wednesday']",No,0,None,0.0,0.0,None,None,None,No,No,No,2,1,4,Not Sure,Yes,4,1
03:57.3,Saksham Gaba,2025BTech447,Female,2024,Sehore,PG,23.385318,77.185099,466001,"['Personal Car', 'College Bus', 'Private Bus']",45 mins–1 hour,With friends,11:40 AM,4:20 PM,"['Thursday', 'Tuesday', 'Monday', 'Friday', 'Saturday']",No,0,None,0.0,0.0,None,None,None,Yes,Yes,Yes,2,2,2,No,No,2,1
17:05.6,Prisha Sinha,2020BTech600,Female,2024,Bhopal,Rented Flat,23.452483,77.253287,466001,"['Walking', 'Private Bus']",15–30 mins,With friends,11:40 AM,10:00 AM,"['Thursday', 'Friday', 'Saturday', 'Wednesday']",Yes,2,"90/44, Ratti Chowk
Gwalior-840554",23.198859,77.316936,Commodi temporibus quis.,10-06-2024,05:54:58,Not Sure,Yes,Yes,4,3,5,No,Yes,5,1
41:11.0,Varsha Panchal,2022BTech817,Other,2023,Bhopal,PG,23.401797,77.244342,462030,"['Personal Car', 'Monthly Cab']",30–45 mins,Alone,10:05 AM,7:30 PM,"['Thursday', 'Saturday', 'Monday', 'Wednesday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,Yes,No,Yes,4,2,4,Yes,Yes,2,1
18:08.9,Dakshesh Pillay,2022BTech517,Male,2023,Kotri,PG,23.088497,77.060348,466001,"['Personal Car', 'College Bus']",30–45 mins,With friends,10:05 AM,7:30 PM,"['Wednesday', 'Monday', 'Tuesday']",No,0,None,0.0,0.0,None,None,None,No,Not Sure,Yes,3,2,4,No,No,3,1
46:16.4,Kavya Kanda,2021BTech613,Male,2023,Sehore,Rented Flat,23.097559,77.403176,462030,['College Bus'],15–30 mins,With friends,6:00 PM,7:30 PM,"['Monday', 'Thursday', 'Saturday', 'Wednesday', 'Friday']",Yes,2,"06/399, Tank Zila
Sirsa 964380",23.030548,77.463587,Impedit repellendus distinctio eaque.,06-08-2024,21:49:52,No,Yes,Yes,3,5,5,Yes,No,4,1
41:00.2,Anamika Lalla,2021BTech519,Female,2024,Kotri,Rented Flat,23.055793,77.041271,462030,['Private Bus'],30–45 mins,With friends,8:30 AM,2:45 PM,"['Wednesday', 'Thursday', 'Friday', 'Tuesday', 'Saturday']",No,0,None,0.0,0.0,None,None,None,Yes,No,No,2,1,1,Yes,Yes,5,1
38:18.4,Udyati Agarwal,2022BTech118,Other,2023,Kotri,PG,23.015276,77.031626,462030,"['Monthly Cab', 'College Bus', 'Personal Car']",15–30 mins,Alone,2:50 PM,5:55 PM,"['Thursday', 'Friday', 'Tuesday', 'Monday', 'Wednesday', 'Saturday']",No,0,None,0.0,0.0,None,None,None,No,Yes,Yes,1,3,2,No,Yes,3,1
41:16.8,Qadim Chand,2020BTech935,Male,2023,Sehore,Rented Flat,23.084038,77.140688,462030,"['Bike', 'Scooty']",30–45 mins,Alone,4:25 PM,10:00 AM,"['Friday', 'Monday', 'Thursday']",Yes,2,"70/04, Narayanan Path, Ajmer 020997",23.173237,77.140346,Quis perspiciatis soluta alias deleniti enim dicta.,22-06-2024,13:14:41,Not Sure,Not Sure,Yes,5,4,5,Yes,No,2,1
41:42.7,Orinder Bhatt,2022BTech274,Female,2025,Kotri,Rented Flat,23.065713,77.033964,462030,"['Monthly Cab', 'Walking']",30–45 mins,With friends,1:15 PM,5:55 PM,"['Tuesday', 'Friday', 'Saturday', 'Wednesday']",Yes,1,"H.No. 887
Puri Street, Morena-497733",23.284485,77.143143,Explicabo veniam impedit.,21-08-2024,22:44:23,Not Sure,Not Sure,No,4,3,4,No,No,5,1
09:16.3,Henry Sane,2023BTech474,Male,2024,Kotri,Hostel,23.439418,77.259881,462030,"['Private Bus', 'Bike', 'Walking']",15–30 mins,Alone,11:40 AM,2:45 PM,"['Saturday', 'Tuesday', 'Thursday', 'Monday']",No,0,None,0.0,0.0,None,None,None,Yes,No,Yes,1,5,1,No,No,3,1
06:03.8,Tanmayi Sarraf,2020BTech729,Other,2025,Kotri,Hostel,23.063749,77.480639,466001,"['College Bus', 'Personal Car', 'Monthly Cab']",15–30 mins,With friends,4:25 PM,4:20 PM,"['Wednesday', 'Thursday', 'Monday', 'Friday', 'Tuesday']",Yes,2,"H.No. 26, Bora Road
Khora  002485",23.355484,77.450034,Sequi magnam at culpa voluptatum at similique.,09-04-2024,04:50:54,Not Sure,Yes,No,1,2,4,Not Sure,No,3,1
17:18.2,Yug Sengupta,2023BTech704,Male,2024,Bhopal,PG,23.475457,77.161149,466001,"['Scooty', 'Personal Car']",45 mins–1 hour,With friends,2:50 PM,1:10 PM,"['Monday', 'Tuesday', 'Wednesday', 'Saturday', 'Friday']",Yes,2,"454
Chopra Nagar, Nadiad-177904",23.4089,77.446739,Labore esse ab vitae iste iure.,13-05-2024,07:18:05,Not Sure,Not Sure,No,3,1,2,No,No,5,1
22:14.0,Saanvi Krishnamurthy,2020BTech381,Male,2024,Kotri,Rented Flat,23.128756,77.010805,466001,"['Bike', 'Personal Car', 'Walking']",30–45 mins,Alone,4:25 PM,11:35 AM,"['Wednesday', 'Monday', 'Friday', 'Thursday', 'Tuesday']",Yes,1,"H.No. 658
Brar Ganj, Sikar-048211",23.320329,77.48873,Veritatis laborum ipsum rerum minus similique dignissimos excepturi.,03-07-2024,02:17:39,Not Sure,Not Sure,Yes,2,4,3,Not Sure,Yes,1,1
30:29.6,Kai Vohra,2020BTech577,Other,2025,Bhopal,PG,23.412891,77.317888,466001,"['Private Bus', 'Bike']",15–30 mins,Alone,4:25 PM,4:20 PM,"['Wednesday', 'Thursday', 'Tuesday', 'Friday']",Yes,1,"H.No. 062
Kashyap Zila, Patiala 805379",23.271724,77.286105,Hic saepe doloribus aut.,13-02-2024,05:39:32,No,Yes,No,1,2,2,No,Yes,5,1
20:31.6,Rohan Arya,2024BTech424,Male,2023,Bhopal,Rented Flat,23.164236,77.294882,466001,"['Walking', 'Monthly Cab']",15–30 mins,Alone,2:50 PM,11:35 AM,"['Thursday', 'Wednesday', 'Monday', 'Friday']",No,0,None,0.0,0.0,None,None,None,No,Yes,No,3,4,2,Not Sure,Yes,5,1
17:42.9,Rehaan Shanker,2020BTech325,Other,2024,Bhopal,Rented Flat,23.357262,77.210224,462030,"['College Bus', 'Private Bus', 'Monthly Cab']",45 mins–1 hour,With friends,4:25 PM,10:00 AM,"['Wednesday', 'Thursday', 'Saturday', 'Tuesday', 'Friday']",No,0,None,0.0,0.0,None,None,None,Not Sure,No,No,4,4,1,Not Sure,No,4,1
